ID, Type, Context, Modification, Name, Occurrences 
61,RESERVED,ASSIGNMENT_RHS,REMOVED,null,89
62,RESERVED,ARGUMENT,INSERTED,false,88
63,RESERVED,CONDITION,REMOVED,undefined,85
64,METHOD,METHOD_CALL,REMOVED,replace,84
65,METHOD,METHOD_CALL,INSERTED,toLowerCase,82
66,METHOD,METHOD_CALL,REMOVED,indexOf,79
67,RESERVED,ARGUMENT,REMOVED,true,79
68,FIELD,EXPRESSION,INSERTED,length,77
69,METHOD,METHOD_CALL,INSERTED,keys,76
70,CLASS,METHOD_CALL,INSERTED,JSON,75
71,METHOD,METHOD_CALL,INSERTED,bind,75
72,METHOD,METHOD_CALL,INSERTED,forEach,72
73,RESERVED,EXPRESSION,INSERTED,this,71
74,CONVENTION,METHOD_CALL,REMOVED,callback,70
75,RESERVED,STATEMENT,INSERTED,break,70
76,RESERVED,ASSIGNMENT_RHS,REMOVED,this,69
77,FIELD,CONDITION,REMOVED,length,68
78,CONVENTION,CONDITION,INSERTED,callback,68
79,CONVENTION,CONDITION,REMOVED,error,66
80,METHOD,METHOD_CALL,INSERTED,concat,60
81,METHOD,METHOD_CALL,INSERTED,map,60
82,METHOD,METHOD_CALL,INSERTED,stringify,59
83,METHOD,METHOD_CALL,INSERTED,parseInt,58
84,FIELD,CONDITION,INSERTED,name,57
85,METHOD,METHOD_CALL,INSERTED,parse,57
86,CLASS,METHOD_CALL,INSERTED,Math,56
87,RESERVED,CONDITION,INSERTED,true,56
88,CONVENTION,METHOD_CALL,REMOVED,error,56
89,METHOD,METHOD_CALL,REMOVED,call,52
90,RESERVED,CONDITION,UPDATED,eq,52
91,METHOD,METHOD_CALL,INSERTED,filter,51
92,METHOD,METHOD_CALL,INSERTED,trim,51
93,CONVENTION,EXPRESSION,INSERTED,error,51
94,METHOD,METHOD_CALL,REMOVED,test,48
95,RESERVED,CONDITION,UPDATED,typeof,48
96,RESERVED,CONDITION,REMOVED,this,47
97,CONVENTION,ARGUMENT,REMOVED,callback,43
98,RESERVED,ASSIGNMENT_RHS,INSERTED,undefined,43
99,RESERVED,STATEMENT,REMOVED,break,43
100,CLASS,METHOD_CALL,INSERTED,Array,42
101,CONVENTION,ASSIGNMENT_LHS,INSERTED,callback,42
102,RESERVED,STATEMENT,REMOVED,try,41
103,CLASS,METHOD_CALL,REMOVED,JSON,40
104,FIELD,METHOD_CALL,INSERTED,prototype,40
105,METHOD,METHOD_CALL,REMOVED,push,40
106,CONVENTION,PARAMETER_DECLARATION,INSERTED,error,40
107,RESERVED,ARGUMENT,INSERTED,undefined,38
108,FIELD,ASSIGNMENT_LHS,REMOVED,prototype,37
109,METHOD,METHOD_CALL,INSERTED,hasOwnProperty,37
110,RESERVED,CONDITION,REMOVED,false,37
111,RESERVED,EXPRESSION,REMOVED,this,37
112,RESERVED,STATEMENT,INSERTED,continue,36
113,FIELD,ASSIGNMENT_RHS,INSERTED,length,35
114,METHOD,METHOD_CALL,INSERTED,substr,35
115,METHOD,METHOD_CALL,REMOVED,stringify,35
116,RESERVED,ARGUMENT,REMOVED,false,35
117,METHOD,METHOD_CALL,REMOVED,toString,34
118,CONVENTION,EXCEPTION_CATCH,REMOVED,error,34
119,FIELD,EXPRESSION,INSERTED,name,33
120,METHOD,METHOD_CALL,INSERTED,charAt,33
121,METHOD,METHOD_CALL,REMOVED,forEach,33
122,RESERVED,ARGUMENT,REMOVED,arguments,33
123,CONVENTION,PARAMETER_DECLARATION,INSERTED,callback,33
124,CLASS,METHOD_CALL,REMOVED,Object,32
125,METHOD,METHOD_CALL,INSERTED,String,32
126,METHOD,METHOD_CALL,REMOVED,split,32
127,FIELD,EXPRESSION,REMOVED,length,31
128,METHOD,METHOD_CALL,INSERTED,exec,31
129,METHOD,METHOD_CALL,REMOVED,bind,31
130,METHOD,METHOD_CALL,REMOVED,match,31
131,FIELD,ASSIGNMENT_RHS,REMOVED,length,30
132,METHOD,METHOD_CALL,INSERTED,apply,30
133,CONVENTION,ASSIGNMENT_LHS,REMOVED,error,30
134,FIELD,ASSIGNMENT_LHS,INSERTED,,29
135,FIELD,ASSIGNMENT_RHS,INSERTED,prototype,29
136,METHOD,METHOD_CALL,REMOVED,keys,29
137,CONVENTION,ASSIGNMENT_RHS,INSERTED,error,29
138,RESERVED,CONDITION,REMOVED,true,29
139,METHOD,METHOD_CALL,INSERTED,isNaN,28
140,METHOD,METHOD_CALL,INSERTED,substring,28
141,RESERVED,ASSIGNMENT_RHS,REMOVED,undefined,28
142,METHOD,METHOD_CALL,INSERTED,create,27
143,METHOD,METHOD_CALL,REMOVED,slice,27
144,FIELD,EXPRESSION,INSERTED,message,26
145,METHOD,METHOD_CALL,REMOVED,concat,26
146,RESERVED,ARGUMENT,INSERTED,arguments,26
147,CONVENTION,VARIABLE_DECLARATION,INSERTED,error,26
148,CLASS,METHOD_CALL,REMOVED,Math,25
149,FIELD,ASSIGNMENT_RHS,INSERTED,name,25
150,CONVENTION,EXPRESSION,REMOVED,error,25
151,CLASS,METHOD_CALL,INSERTED,Date,24
152,FIELD,EXPRESSION,REMOVED,name,24
153,METHOD,METHOD_CALL,INSERTED,sort,24
154,METHOD,METHOD_CALL,INSERTED,getTime,23
155,METHOD,METHOD_CALL,REMOVED,toLowerCase,23
156,RESERVED,CONDITION,INSERTED,arguments,23
157,METHOD,METHOD_CALL,INSERTED,is,22
158,METHOD,METHOD_CALL,INSERTED,toUpperCase,22
159,METHOD,METHOD_CALL,REMOVED,parseInt,21
160,CONVENTION,PARAMETER_DECLARATION,REMOVED,error,21
161,METHOD,METHOD_CALL,INSERTED,max,19
162,METHOD,METHOD_CALL,INSERTED,min,19
163,FIELD,METHOD_CALL,REMOVED,prototype,18
164,METHOD,METHOD_CALL,REMOVED,parse,18
165,METHOD,METHOD_CALL,REMOVED,trim,18
166,RESERVED,ARGUMENT,INSERTED,typeof,18
167,METHOD,METHOD_CALL,INSERTED,defineProperty,17
168,METHOD,METHOD_CALL,INSERTED,unshift,17
169,METHOD,METHOD_CALL,UPDATED,test,17
170,FIELD,ASSIGNMENT_LHS,INSERTED,message,16
171,FIELD,ASSIGNMENT_RHS,REMOVED,prototype,16
172,FIELD,CONDITION,INSERTED,,16
173,FIELD,METHOD_CALL,INSERTED,,16
174,METHOD,METHOD_CALL,INSERTED,encodeURIComponent,16
175,METHOD,METHOD_CALL,REMOVED,map,16
176,RESERVED,CONDITION,INSERTED,new,16
177,CONVENTION,PARAMETER_DECLARATION,REMOVED,callback,16
178,METHOD,METHOD_CALL,INSERTED,Number,15
179,METHOD,METHOD_CALL,INSERTED,pop,15
180,METHOD,METHOD_CALL,REMOVED,apply,15
181,METHOD,METHOD_CALL,REMOVED,charAt,15
182,METHOD,METHOD_CALL,REMOVED,exec,15
183,METHOD,METHOD_CALL,UPDATED,match,15
184,CONVENTION,VARIABLE_DECLARATION,REMOVED,error,15
185,CLASS,METHOD_CALL,REMOVED,Date,14
186,FIELD,CONDITION,REMOVED,name,14
187,METHOD,METHOD_CALL,UPDATED,replace,14
188,CONVENTION,ASSIGNMENT_RHS,REMOVED,error,14
189,RESERVED,METHOD_CALL,INSERTED,catch,14
190,RESERVED,STATEMENT,REMOVED,continue,14
191,FIELD,ASSIGNMENT_LHS,INSERTED,name,13
192,METHOD,METHOD_CALL,INSERTED,shift,13
193,METHOD,METHOD_CALL,REMOVED,pop,13
194,RESERVED,ASSIGNMENT_LHS,INSERTED,default,13
195,FIELD,CONDITION,INSERTED,message,12
196,METHOD,METHOD_CALL,INSERTED,lastIndexOf,12
197,METHOD,METHOD_CALL,REMOVED,String,12
198,METHOD,METHOD_CALL,UPDATED,split,12
199,RESERVED,ARGUMENT,REMOVED,undefined,12
200,FIELD,ASSIGNMENT_RHS,INSERTED,message,11
201,FIELD,CONDITION,INSERTED,constructor,11
202,FIELD,METHOD_CALL,INSERTED,message,11
203,FIELD,METHOD_CALL,INSERTED,name,11
204,METHOD,METHOD_CALL,INSERTED,decodeURIComponent,11
205,METHOD,METHOD_CALL,INSERTED,random,11
206,METHOD,METHOD_CALL,INSERTED,reduce,11
207,METHOD,METHOD_CALL,INSERTED,splice,11
208,METHOD,METHOD_CALL,REMOVED,filter,11
209,METHOD,METHOD_CALL,REMOVED,unshift,11
210,METHOD,METHOD_CALL,UPDATED,filter,11
211,METHOD,METHOD_CALL,UPDATED,indexOf,11
212,RESERVED,ASSIGNMENT_LHS,INSERTED,package,11
213,CONVENTION,CONDITION,REMOVED,callback,11
214,RESERVED,METHOD_CALL,INSERTED,eval,11
215,CLASS,METHOD_CALL,UPDATED,Object,10
216,METHOD,METHOD_CALL,INSERTED,floor,10
217,METHOD,METHOD_CALL,INSERTED,parseFloat,10
218,METHOD,METHOD_CALL,REMOVED,hasOwnProperty,10
219,METHOD,METHOD_CALL,REMOVED,isNaN,10
220,METHOD,METHOD_CALL,REMOVED,substr,10
221,CONVENTION,ASSIGNMENT_LHS,REMOVED,callback,10
222,RESERVED,CONDITION,REMOVED,arguments,10
223,FIELD,ASSIGNMENT_RHS,INSERTED,,9
224,FIELD,CONDITION,UPDATED,length,9
225,METHOD,METHOD_CALL,INSERTED,valueOf,9
226,METHOD,METHOD_CALL,UPDATED,map,9
227,RESERVED,ASSIGNMENT_LHS,INSERTED,eval,9
228,CONVENTION,METHOD_CALL,UPDATED,error,9
229,FIELD,ASSIGNMENT_LHS,INSERTED,length,8
230,FIELD,ASSIGNMENT_LHS,REMOVED,message,8
231,FIELD,ASSIGNMENT_RHS,REMOVED,name,8
232,METHOD,METHOD_CALL,INSERTED,compile,8
233,METHOD,METHOD_CALL,REMOVED,getTime,8
234,METHOD,METHOD_CALL,REMOVED,random,8
235,METHOD,METHOD_CALL,REMOVED,shift,8
236,METHOD,METHOD_CALL,REMOVED,sort,8
237,METHOD,METHOD_CALL,UPDATED,concat,8
238,METHOD,METHOD_CALL,UPDATED,slice,8
239,RESERVED,ASSIGNMENT_LHS,INSERTED,class,8
240,RESERVED,CONDITION,INSERTED,package,8
241,RESERVED,METHOD_CALL,REMOVED,catch,8
242,RESERVED,STATEMENT,UPDATED,try,8
243,CLASS,METHOD_CALL,UPDATED,JSON,7
244,FIELD,CONDITION,REMOVED,constructor,7
245,FIELD,CONDITION,REMOVED,message,7
246,METHOD,METHOD_CALL,INSERTED,isFinite,7
247,METHOD,METHOD_CALL,INSERTED,some,7
248,METHOD,METHOD_CALL,INSERTED,toJSON,7
249,METHOD,METHOD_CALL,INSERTED,unescape,7
250,METHOD,METHOD_CALL,REMOVED,encodeURIComponent,7
251,METHOD,METHOD_CALL,REMOVED,parseFloat,7
252,METHOD,METHOD_CALL,UPDATED,stringify,7
253,RESERVED,ARGUMENT,REMOVED,typeof,7
254,RESERVED,CONDITION,REMOVED,new,7
255,RESERVED,METHOD_CALL,INSERTED,export,7
256,RESERVED,METHOD_CALL,UPDATED,delete,7
257,FIELD,ASSIGNMENT_LHS,REMOVED,name,6
258,FIELD,EXPRESSION,INSERTED,source,6
259,FIELD,EXPRESSION,UPDATED,length,6
260,METHOD,METHOD_CALL,INSERTED,abs,6
261,METHOD,METHOD_CALL,REMOVED,Number,6
262,METHOD,METHOD_CALL,REMOVED,defineProperty,6
263,RESERVED,ARGUMENT,INSERTED,package,6
264,RESERVED,ASSIGNMENT_RHS,INSERTED,default,6
265,RESERVED,CONDITION,UPDATED,new,6
266,RESERVED,METHOD_CALL,INSERTED,static,6
267,CONVENTION,VARIABLE_DECLARATION,INSERTED,callback,6
268,CLASS,ARGUMENT,INSERTED,JSON,5
269,CLASS,METHOD_CALL,REMOVED,Array,5
270,FIELD,ASSIGNMENT_LHS,INSERTED,source,5
271,FIELD,CONDITION,REMOVED,,5
272,METHOD,ARGUMENT,INSERTED,stringify,5
273,METHOD,METHOD_CALL,INSERTED,round,5
274,METHOD,METHOD_CALL,REMOVED,decodeURIComponent,5
275,METHOD,METHOD_CALL,REMOVED,lastIndexOf,5
276,METHOD,METHOD_CALL,REMOVED,max,5
277,METHOD,METHOD_CALL,REMOVED,splice,5
278,METHOD,METHOD_CALL,REMOVED,toUpperCase,5
279,CONVENTION,ARGUMENT,UPDATED,error,5
280,RESERVED,ASSIGNMENT_LHS,REMOVED,default,5
281,RESERVED,ASSIGNMENT_LHS,REMOVED,eval,5
282,RESERVED,ASSIGNMENT_LHS,REMOVED,package,5
283,CLASS,METHOD_CALL,INSERTED,Error,4
284,CLASS,METHOD_CALL,REMOVED,String,4
285,FIELD,ARGUMENT,INSERTED,prototype,4
286,FIELD,CONDITION,INSERTED,prototype,4
287,FIELD,CONDITION,INSERTED,source,4
288,FIELD,EXPRESSION,INSERTED,constructor,4
289,FIELD,EXPRESSION,INSERTED,,4
290,FIELD,EXPRESSION,REMOVED,message,4
291,METHOD,METHOD_CALL,INSERTED,encodeURI,4
292,METHOD,METHOD_CALL,INSERTED,localeCompare,4
293,METHOD,METHOD_CALL,INSERTED,pow,4
294,METHOD,METHOD_CALL,INSERTED,reverse,4
295,METHOD,METHOD_CALL,INSERTED,toFixed,4
296,METHOD,METHOD_CALL,INSERTED,toUTCString,4
297,METHOD,METHOD_CALL,REMOVED,is,4
298,METHOD,METHOD_CALL,REMOVED,reduce,4
299,METHOD,METHOD_CALL,REMOVED,round,4
300,METHOD,METHOD_CALL,REMOVED,substring,4
301,METHOD,METHOD_CALL,REMOVED,valueOf,4
302,METHOD,METHOD_CALL,UPDATED,apply,4
303,METHOD,METHOD_CALL,UPDATED,charAt,4
304,METHOD,METHOD_CALL,UPDATED,push,4
305,METHOD,METHOD_CALL,UPDATED,sort,4
306,METHOD,METHOD_CALL,UPDATED,toLowerCase,4
307,RESERVED,METHOD_CALL,INSERTED,boolean,4
308,RESERVED,METHOD_CALL,REMOVED,static,4
309,CONVENTION,VARIABLE_DECLARATION,REMOVED,callback,4
310,RESERVED,VARIABLE_DECLARATION,REMOVED,undefined,4
311,CLASS,METHOD_CALL,UPDATED,Array,3
312,FIELD,ARGUMENT,INSERTED,constructor,3
313,FIELD,ARGUMENT,INSERTED,source,3
314,FIELD,ASSIGNMENT_LHS,INSERTED,constructor,3
315,FIELD,ASSIGNMENT_LHS,REMOVED,constructor,3
316,FIELD,ASSIGNMENT_LHS,UPDATED,prototype,3
317,FIELD,ASSIGNMENT_RHS,REMOVED,,3
318,FIELD,ASSIGNMENT_RHS,REMOVED,message,3
319,FIELD,EXPRESSION,UPDATED,name,3
320,FIELD,METHOD_CALL,REMOVED,,3
321,FIELD,METHOD_CALL,UPDATED,prototype,3
322,METHOD,METHOD_CALL,INSERTED,charCodeAt,3
323,METHOD,METHOD_CALL,INSERTED,toISOString,3
324,METHOD,METHOD_CALL,REMOVED,compile,3
325,METHOD,METHOD_CALL,REMOVED,floor,3
326,METHOD,METHOD_CALL,REMOVED,fromCharCode,3
327,METHOD,METHOD_CALL,REMOVED,getDate,3
328,METHOD,METHOD_CALL,REMOVED,min,3
329,METHOD,METHOD_CALL,REMOVED,pow,3
330,METHOD,METHOD_CALL,REMOVED,toFixed,3
331,METHOD,METHOD_CALL,REMOVED,toJSON,3
332,METHOD,METHOD_CALL,UPDATED,forEach,3
333,METHOD,METHOD_CALL,UPDATED,lastIndexOf,3
334,METHOD,METHOD_CALL,UPDATED,shift,3
335,METHOD,METHOD_CALL,UPDATED,unshift,3
336,RESERVED,ARGUMENT,REMOVED,package,3
337,RESERVED,ASSIGNMENT_LHS,INSERTED,boolean,3
338,RESERVED,ASSIGNMENT_LHS,INSERTED,private,3
339,RESERVED,ASSIGNMENT_RHS,INSERTED,arguments,3
340,CONVENTION,ASSIGNMENT_RHS,INSERTED,callback,3
341,RESERVED,ASSIGNMENT_RHS,INSERTED,package,3
342,RESERVED,ASSIGNMENT_RHS,UPDATED,arguments,3
343,RESERVED,CONDITION,INSERTED,default,3
344,RESERVED,EXPRESSION,INSERTED,package,3
345,RESERVED,METHOD_CALL,INSERTED,function,3
346,RESERVED,METHOD_CALL,INSERTED,package,3
347,RESERVED,METHOD_CALL,INSERTED,throw,3
348,RESERVED,METHOD_CALL,REMOVED,boolean,3
349,RESERVED,METHOD_CALL,REMOVED,delete,3
350,RESERVED,METHOD_CALL,REMOVED,eval,3
351,RESERVED,VARIABLE_DECLARATION,INSERTED,undefined,3
352,CLASS,ARGUMENT,INSERTED,Error,2
353,CLASS,ARGUMENT,INSERTED,RegExp,2
354,CLASS,METHOD_CALL,INSERTED,String,2
355,CLASS,METHOD_CALL,REMOVED,Error,2
356,FIELD,ARGUMENT,REMOVED,constructor,2
357,FIELD,ARGUMENT,REMOVED,prototype,2
358,FIELD,ASSIGNMENT_LHS,INSERTED,lastIndex,2
359,FIELD,ASSIGNMENT_LHS,REMOVED,,2
360,FIELD,ASSIGNMENT_LHS,REMOVED,length,2
361,FIELD,ASSIGNMENT_RHS,INSERTED,constructor,2
362,FIELD,ASSIGNMENT_RHS,INSERTED,source,2
363,FIELD,ASSIGNMENT_RHS,UPDATED,length,2
364,FIELD,CONDITION,REMOVED,source,2
365,FIELD,CONDITION,UPDATED,prototype,2
366,FIELD,EXPRESSION,REMOVED,constructor,2
367,FIELD,METHOD_CALL,UPDATED,message,2
368,METHOD,ARGUMENT,INSERTED,create,2
369,METHOD,ARGUMENT,INSERTED,exec,2
370,METHOD,ARGUMENT,INSERTED,test,2
371,METHOD,METHOD_CALL,INSERTED,ceil,2
372,METHOD,METHOD_CALL,INSERTED,fromCharCode,2
373,METHOD,METHOD_CALL,INSERTED,getOwnPropertyNames,2
374,METHOD,METHOD_CALL,INSERTED,getUTCMinutes,2
375,METHOD,METHOD_CALL,INSERTED,setMilliseconds,2
376,METHOD,METHOD_CALL,INSERTED,toGMTString,2
377,METHOD,METHOD_CALL,REMOVED,UTC,2
378,METHOD,METHOD_CALL,REMOVED,abs,2
379,METHOD,METHOD_CALL,REMOVED,create,2
380,METHOD,METHOD_CALL,REMOVED,getFullYear,2
381,METHOD,METHOD_CALL,REMOVED,isFinite,2
382,METHOD,METHOD_CALL,REMOVED,reverse,2
383,METHOD,METHOD_CALL,REMOVED,some,2
384,METHOD,METHOD_CALL,REMOVED,toUTCString,2
385,METHOD,METHOD_CALL,UPDATED,call,2
386,METHOD,METHOD_CALL,UPDATED,exec,2
387,METHOD,METHOD_CALL,UPDATED,hasOwnProperty,2
388,METHOD,METHOD_CALL,UPDATED,keys,2
389,METHOD,METHOD_CALL,UPDATED,pop,2
390,METHOD,METHOD_CALL,UPDATED,round,2
391,METHOD,METHOD_CALL,UPDATED,toString,2
392,METHOD,METHOD_CALL,UPDATED,trim,2
393,RESERVED,ARGUMENT,INSERTED,default,2
394,RESERVED,ARGUMENT,UPDATED,arguments,2
395,RESERVED,ASSIGNMENT_LHS,INSERTED,arguments,2
396,RESERVED,ASSIGNMENT_LHS,INSERTED,else,2
397,RESERVED,ASSIGNMENT_LHS,INSERTED,in,2
398,RESERVED,ASSIGNMENT_LHS,INSERTED,int,2
399,RESERVED,ASSIGNMENT_LHS,INSERTED,long,2
400,RESERVED,ASSIGNMENT_LHS,INSERTED,short,2
401,RESERVED,ASSIGNMENT_LHS,INSERTED,yield,2
402,RESERVED,ASSIGNMENT_LHS,REMOVED,arguments,2
403,RESERVED,ASSIGNMENT_LHS,REMOVED,import,2
404,RESERVED,ASSIGNMENT_LHS,REMOVED,null,2
405,RESERVED,ASSIGNMENT_LHS,REMOVED,yield,2
406,CONVENTION,ASSIGNMENT_LHS,UPDATED,error,2
407,RESERVED,ASSIGNMENT_RHS,INSERTED,typeof,2
408,CONVENTION,ASSIGNMENT_RHS,REMOVED,callback,2
409,RESERVED,ASSIGNMENT_RHS,REMOVED,default,2
410,CONVENTION,ASSIGNMENT_RHS,UPDATED,error,2
411,RESERVED,CONDITION,INSERTED,else,2
412,RESERVED,CONDITION,INSERTED,private,2
413,RESERVED,CONDITION,REMOVED,long,2
414,RESERVED,CONDITION,REMOVED,package,2
415,RESERVED,CONDITION,UPDATED,arguments,2
416,CONVENTION,CONDITION,UPDATED,error,2
417,RESERVED,EXPRESSION,INSERTED,typeof,2
418,RESERVED,EXPRESSION,REMOVED,package,2
419,RESERVED,METHOD_CALL,INSERTED,default,2
420,RESERVED,METHOD_CALL,INSERTED,delete,2
421,RESERVED,METHOD_CALL,INSERTED,finally,2
422,RESERVED,METHOD_CALL,INSERTED,true,2
423,RESERVED,METHOD_CALL,REMOVED,new,2
424,RESERVED,METHOD_CALL,UPDATED,boolean,2
425,RESERVED,METHOD_CALL,UPDATED,catch,2
426,RESERVED,METHOD_DECLARATION,REMOVED,static,2
427,RESERVED,PARAMETER_DECLARATION,REMOVED,undefined,2
428,RESERVED,VARIABLE_DECLARATION,INSERTED,package,2
429,CLASS,ARGUMENT,INSERTED,Date,1
430,CLASS,ARGUMENT,REMOVED,Object,1
431,CLASS,ARGUMENT,REMOVED,String,1
432,CLASS,ARGUMENT,UPDATED,RegExp,1
433,CLASS,METHOD_CALL,INSERTED,Number,1
434,CLASS,METHOD_CALL,REMOVED,Number,1
435,CLASS,METHOD_CALL,UPDATED,Math,1
436,FIELD,ARGUMENT,REMOVED,,1
437,FIELD,ASSIGNMENT_LHS,UPDATED,,1
438,FIELD,ASSIGNMENT_LHS,UPDATED,name,1
439,FIELD,ASSIGNMENT_RHS,REMOVED,source,1
440,FIELD,ASSIGNMENT_RHS,UPDATED,,1
441,FIELD,ASSIGNMENT_RHS,UPDATED,name,1
442,FIELD,ASSIGNMENT_RHS,UPDATED,prototype,1
443,FIELD,CONDITION,REMOVED,ignoreCase,1
444,FIELD,CONDITION,REMOVED,multiline,1
445,FIELD,CONDITION,UPDATED,message,1
446,FIELD,CONDITION,UPDATED,source,1
447,FIELD,EXPRESSION,REMOVED,source,1
448,FIELD,METHOD_CALL,INSERTED,source,1
449,FIELD,METHOD_CALL,REMOVED,length,1
450,FIELD,METHOD_CALL,REMOVED,name,1
451,FIELD,METHOD_CALL,UPDATED,constructor,1
452,FIELD,METHOD_CALL,UPDATED,name,1
453,METHOD,ARGUMENT,INSERTED,bind,1
454,METHOD,ARGUMENT,INSERTED,hasOwnProperty,1
455,METHOD,ARGUMENT,INSERTED,map,1
456,METHOD,ARGUMENT,INSERTED,max,1
457,METHOD,ARGUMENT,INSERTED,min,1
458,METHOD,ARGUMENT,INSERTED,unescape,1
459,METHOD,ARGUMENT,REMOVED,bind,1
460,METHOD,ARGUMENT,REMOVED,exec,1
461,METHOD,ARGUMENT,REMOVED,search,1
462,METHOD,METHOD_CALL,INSERTED,decodeURI,1
463,METHOD,METHOD_CALL,INSERTED,getDate,1
464,METHOD,METHOD_CALL,INSERTED,getFullYear,1
465,METHOD,METHOD_CALL,INSERTED,getHours,1
466,METHOD,METHOD_CALL,INSERTED,getMilliseconds,1
467,METHOD,METHOD_CALL,INSERTED,getMonth,1
468,METHOD,METHOD_CALL,INSERTED,getPrototypeOf,1
469,METHOD,METHOD_CALL,INSERTED,getUTCDate,1
470,METHOD,METHOD_CALL,INSERTED,getUTCDay,1
471,METHOD,METHOD_CALL,INSERTED,getUTCHours,1
472,METHOD,METHOD_CALL,INSERTED,getUTCMonth,1
473,METHOD,METHOD_CALL,INSERTED,getUTCSeconds,1
474,METHOD,METHOD_CALL,INSERTED,propertyIsEnumerable,1
475,METHOD,METHOD_CALL,INSERTED,reduceRight,1
476,METHOD,METHOD_CALL,INSERTED,search,1
477,METHOD,METHOD_CALL,INSERTED,setHours,1
478,METHOD,METHOD_CALL,INSERTED,setSeconds,1
479,METHOD,METHOD_CALL,INSERTED,setTime,1
480,METHOD,METHOD_CALL,INSERTED,setUTCMinutes,1
481,METHOD,METHOD_CALL,REMOVED,encodeURI,1
482,METHOD,METHOD_CALL,REMOVED,getDay,1
483,METHOD,METHOD_CALL,REMOVED,getHours,1
484,METHOD,METHOD_CALL,REMOVED,getMinutes,1
485,METHOD,METHOD_CALL,REMOVED,getMonth,1
486,METHOD,METHOD_CALL,REMOVED,getSeconds,1
487,METHOD,METHOD_CALL,REMOVED,getTimezoneOffset,1
488,METHOD,METHOD_CALL,REMOVED,search,1
489,METHOD,METHOD_CALL,REMOVED,setHours,1
490,METHOD,METHOD_CALL,REMOVED,setMilliseconds,1
491,METHOD,METHOD_CALL,REMOVED,setMinutes,1
492,METHOD,METHOD_CALL,REMOVED,setSeconds,1
493,METHOD,METHOD_CALL,REMOVED,setTime,1
494,METHOD,METHOD_CALL,REMOVED,sqrt,1
